dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.870947,9.025054,0.000664,0.066416,3.320778,166.038924,0.000000
0.020000,1.870947,9.025054,0.000664,0.000000,-3.320778,-332.077848,0.000000
0.020000,1.872040,9.025054,0.001757,0.054650,2.732478,302.662800,0.000000
0.020000,1.882003,9.025054,0.011719,0.498117,22.173361,972.044175,0.000000
0.020000,1.895950,9.025054,0.025667,0.697363,9.962335,-610.551281,0.000000
0.020000,1.913882,9.025054,0.043599,0.896610,9.962335,0.000000,0.000000
0.020000,1.935799,9.025054,0.065516,1.095857,9.962335,0.000000,0.000000
0.020000,1.961701,9.025054,0.091418,1.295104,9.962335,-0.000000,0.000000
0.020000,1.991588,9.025054,0.121305,1.494350,9.962335,0.000000,0.000000
0.020000,2.025460,9.025054,0.155177,1.693597,9.962335,0.000000,0.000000
0.020000,2.063317,9.025054,0.193034,1.892844,9.962335,0.000000,0.000000
0.020000,2.105159,9.025054,0.234876,2.092090,9.962335,-0.000000,0.000000
0.020000,2.150986,9.025054,0.280703,2.291337,9.962335,0.000000,0.000000
0.020000,2.200798,9.025054,0.330514,2.490584,9.962335,0.000000,0.000000
0.020000,2.254594,9.025054,0.384311,2.689831,9.962335,0.000000,0.000000
0.020000,2.312376,9.025054,0.442092,2.889077,9.962335,-0.000000,0.000000
0.020000,2.374142,9.025054,0.503859,3.088324,9.962335,0.000000,0.000000
0.020000,2.439894,9.025054,0.569610,3.287571,9.962335,0.000000,0.000000
0.020000,2.509630,9.025054,0.639347,3.486817,9.962335,-0.000000,0.000000
0.020000,2.583351,9.025054,0.713068,3.686064,9.962335,0.000000,0.000000
0.020000,2.661057,9.025054,0.790774,3.885311,9.962335,0.000000,0.000000
0.020000,2.742749,9.025054,0.872465,4.084558,9.962335,-0.000000,0.000000
0.020000,2.828425,9.025054,0.958141,4.283804,9.962335,0.000000,0.000000
0.020000,2.918086,9.025054,1.047802,4.483051,9.962335,-0.000000,0.000000
0.020000,3.011732,9.025054,1.141448,4.682298,9.962335,0.000000,0.000000
0.020000,3.109363,9.025054,1.239079,4.881544,9.962335,0.000000,0.000000
0.020000,3.210978,9.025054,1.340695,5.080791,9.962335,-0.000000,0.000000
0.020000,3.316579,9.025054,1.446296,5.280038,9.962335,0.000000,0.000000
